Title,CAS Number,Use(s),Date Listed,Type of Toxicity,Listing Mechanism
Etodolac,41340-25-4,Medicine (NSAID),20-Aug-99,"developmental, female  ",FR
Etoposide,33419-42-0,"Medicine (chemotherapeutic, conditioning regimen prior to transplants)",04-Nov-11,cancer,LC
Etoposide,33419-42-0,"Medicine (chemotherapeutic, conditioning regimen prior to transplants)",01-Jul-90,developmental,FR
Etoposide in combination with cisplatin and bleomycin,,,04-Nov-11,cancer,LC
Etretinate,54350-48-0,"Former medicine (treatment for psoriasis), discontinued in the US in 1998.",01-Jul-87,developmental,SQE
Famciclovir,104227-87-4,"Medication, used in the treatment of herpes simplex virus (HSV), varcilla zoster virus (VZV), and cytomegalovirus (CMV)",,,
Felodipine,72509-76-3,Drug; a dihydropyridine calcium channel blocking agent; lowers blood pressure,,,
Fenbutatin oxide,13356-08-6,Acaracide,,,
Fenoxaprop Ethyl,66441-23-4,Herbicide,,,
Fenoxycarb,72490-01-8,Insecticide,02-Jun-00,cancer ,AB
Fenpropathrin,39515-41-8,"Insecticide-Miticide, 	 ",,,
Filgrastim,121181-53-1,"Medicine (treatment for neutropenia, increase number of hematopoietic stem cells in blood prior to collection)",27-Feb-01,developmental ,FR
Fluazifop Butyl,69806-50-4,Herbicide,,,
Flunisolide,03-03-3385,Medicine (corticosteroid),15-May-98,"developmental, female ",FR
Fluoride,16984-48-8,"Medicine (prevent bone loss); result of sulfuryl fluoride (pesticide, fumigant) decay. Compounds may be used as metal treatment, glass etching, aluminum smelting, pesticides, chemical synthesis, dental care products, or municipal public health water additive (prevents tooth decay).",,,
Fluorouracil,51-21-8,Medicine (chemotherapy),01-Jan-89,developmental,SQE
Fluoxymesterone,76-43-7,Medicine (anabolic steroid with strong androgenic properties),01-Apr-90,developmental,FR
Flurazepam Hydrochloride,1172-18-5,Medicine (benzodiazepine hypnotic),,,
Flurbiprofen,5104-49-4,Medicine (NSAID),20-Aug-99,"developmental, female ",FR
Flutamide,13311-84-7,Medicine (treatment for prostate cancer),01-Jul-90,developmental,FR
Fluticasone Propionate,80474-14-2,"Medicine (antiallergic, anti-inflammatory)",,,
Fluvalinate,69409-94-5,Insecticide,06-Nov-98,developmental ,AB
Fluvastatin sodium,93957-55-2,Medication for the treatment of high blood cholesterol (hypercholesterolemia),,,
Folpet,133-07-3,"Formerly used as fungicide, wood surface treatment, paint additive. Use in the US ended by 2000.",01-Jan-89,cancer,SQE
Formaldehyde,50-00-0,"Disinfectant (antibacterial, fungicide), tissue fixative, photography (color negative stabilizer), textile treatment; precursor to polyfunctional alcohols; production of urea and melamine resins, phenolic resin, plastics, adhesives, preservatives, pressed wood products, automobile components; byproduct of combustion, component of tobacco smoke",,,
Formamide,75-12-7,"Manufacture of formic esters and hydrocyanic acid by catalytic dehydration. Intermediate in organic synthesis. Softener for paper, animal glues, water soluble glues. Intermediate in the chemical industry; used for producing heterocyclic compounds, pharmaceuticals, crop protection agents, fungicides, and pesticides; used as a solvent in the manufacture and processing of plastics; to produce formic acid; used to remove coating from copper conductors; used in the spinning of acrylonitrile copolymers; employed in the antistatic finishing of plastics or formation of conductive coatings on plastic particles",,,
Fumonisin B1,116355-83-0,Produced by fungus Fusarium moniliforme,14-Nov-03,cancer,AB
Furaltadone,139-91-3,"Medicine (antibacterial), veterinary medicine",,,
Furan,110-00-9,"Chemical intermediate; solvent for resins, production of lacquers, agricultural chemicals, stabilizers, and pharmaceuticals",01-Oct-93,cancer,AB
Furathiazole,531-82-8,"Veterinary medicine (analgesic, anti-inflammatory agent); no reported production or use in the US.",,,
Furazolidone,67-45-8,"Medicine (antibacterial), veterinary medicine",01-Jan-90,cancer,AB
Furfural,98-01-1,"Chemical intermediate; solvent in petroleum refining and other industries; constituent of rubber cement; weed killer, fungicide; flavoring agent",,,
Furfuryl Alcohol,98-00-0,"Used to produce furan resins, as a chemical intermediate in the synthesis of other chemicals, and as a solvent in textile printing and alkaline paint strippers.",,,
Furidiazine,712-68-5,"Medicine (antimicrobial), veterinary medicine, conservation. Production of cosmetics and synthetic textiles",,,
Furmecyclox,60568-05-0,"Fungicide, wood preservative",01-Jan-90,cancer,AB
Furylfuramide,3688-53-7,"Former antimicrobial food additive, used in Japan from 1965 until 1974.",,,
Fusarin C,79748-81-5,Produced by Fusarium fungi,01-Jul-95,cancer,SQE
Gallium Arsenide,1303-00-0,"Electronic applications such as in transistors, microprocessors, high efficiency solar cells, diodes",,,
Ganciclovir,82410-32-0,Medicine (antiviral used for cytomegalovirus),26-Aug-97,"cancer, developmental, male ",FR
Ganciclovir Sodium,107910-75-8,Medicine (antiviral),,,
Gasoline engine exhaust (condensates/extracts),,,01-Oct-90,cancer,AB
Gemfibrozil,25812-30-0,Medicine (serum lipid regulating agent),22-Dec-00,cancer,FR
Gemfibrozil,25812-30-0,Medicine (serum lipid regulating agent),20-Aug-99,"female, male ",FR
Gentian Violet,548-62-9,"Dye, antibacterial, antifungal.",,,
Glass wool fibers (inhalable and biopersistent),,"Thermal insulation, soundproofing, marine vehicle and installation construction",01-Jul-90,cancer,AB
Glu-P-1 (2-Amino-6-methyldipyrido[1-2-a:3'-2'-d]imidazole),67730-11-4,Found in cooked food as byproduct of browning reaction; component of tobacco smoke,,,
"Glu-P-2 (2-Aminodipyrido[1,2-a:3',2'-d]imidazole)",67730-10-3,Found in cooked food as byproduct of browning reaction; component of tobacco smoke,01-Jan-90,cancer,AB
Glutaraldehyde,111-30-8,"Disinfectant, biocide, tissue fixative, medicine (wart treatment); component of hydraulic fracturing (fracking) fluid",,,
Glycidaldehyde,765-34-4,Processing wool and leather; manufacture of surgical sutures,01-Jan-88,cancer,SQE
Glycidol,556-52-5,"Stabilizer for vinyl polymers, diluent for expoxy resins; chemical intermediate in synthesis of pharmaceuticals; additive in lubricating oil and synthetic hydraulic fluids",01-Jul-90,cancer,AB
Glyphosate,1071-83-6,Herbicide,07-Jul-17,cancer,LC
Goldenseal root powder,,Used as a dietary supplement to treat a variety of digestive and haemorrhagic disorders.,04-Dec-15,cancer,LC
Goserelin Acetate,65807-02-5,Medicine (antineoplastic),,,
Griseofulvin,126-07-8,Medicine (antifungal),01-Jan-90,cancer,AB
Gross Alpha Particle Activity,,Alpha radiation is a type of energy released when certain radioactive elements decay or break  down.,,,
Gross Beta Particle Activity,,Gross beta particle activity is a measure of the total amount of radioactivity in a water sample attributable to the radioactive decay of beta-emitting elements. Beta particles usually travel greater distances in air than alpha particles (about 6 feet) before being absorbed.,,,
Gyromitrin,16568-02-8,Naturally occurring in several mushrooms of the genus Gyromitra. Hydrolyzed in the body to form methylhydrazine (MMH).,,,
Halazepam,23092-17-3,"Medicine (sedative-hypnotic, tranquilizing agent)",01-Jul-90,developmental,FR
Halobetasol Propionate,66852-54-8,Medicine (corticosteroid),,,
Haloperidol,52-86-8,Medicine (antipsychotic),29-Jan-99,"developmental, female ",FR
Halothane,151-67-7,"Former anesthetic, phased out during the 1980s and 1990s",01-Sep-96,developmental,FR
HC Blue 1,2784-94-3,"Former hair dye, late 1960s to mid-1980s",01-Jul-89,cancer,SQE
Heptachlor,76-44-8,Previously used as an insecticide; since 1988 use is restricted to controlling fire ants in underground transformers.,01-Jul-88,cancer,SQE
Heptachlor,76-44-8,Previously used as an insecticide; since 1988 use is restricted to controlling fire ants in underground transformers.,20-Aug-99,developmental,AB
Heptachlor Epoxide,1024-57-3,Insecticide; degradation product of heptachlor. Commercial sale in the US banned in 1988; use restricted to control of fire ants in power transformers.,,,
"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",37871-00-4,"Found in smoke emissions, byproduct of chemical synthesis",,,
"1,2,3,4,6,7,8-Heptachlorodibenzofuran",67562-39-4,"Found in smoke emissions, byproduct of chemical synthesis",,,
"1,2,3,4,7,8,9-Heptachlorodibenzofuran",55673-89-7,"Found in smoke emissions, byproduct of chemical synthesis",,,
Herbal remedies containing plant species of the genus Aristolochia,,,09-Jul-04,cancer ,LC
Hexachlorobenzene,118-74-1,"Byproduct formed in manufacture of solvents and pesticides. Formerly used as fungicide, pesticide, wood preservative, and in production of rubber, aluminum, and dyes. Not currently produced or used in the US.",01-Oct-87,cancer,SQE
Hexachlorobenzene,118-74-1,"Byproduct formed in manufacture of solvents and pesticides. Formerly used as fungicide, pesticide, wood preservative, and in production of rubber, aluminum, and dyes. Not currently produced or used in the US.",01-Jan-89,developmental,SQE
Hexachlorobutadiene,87-68-3,"Solvent, scrubber, mulling agent; diminishing use as algicide and herbicide",03-May-11,cancer,AB
Hexachlorocyclohexane (Technical Grade),608-73-1,"Insecticide containing gamma-HCH (lindane) as well as alpha, beta, delta, and epsilon forms of HCH. Technical grade HCH has not been produced on used in the US in over 20 years.",,,
Hexachlorocyclohexane- Alpha Isomer,,Byproduct of lindane production; component of technical grade lindane (former insecticide). Not produced or used in the US since 1985.,,,
Hexachlorocyclohexane- Beta Isomer,,Byproduct of lindane production; component of technical grade lindane (former insecticide). Not produced or used in the US since 1985.,,,
Hexachlorocyclohexane- Gamma Isomer,58-89-9,"Insecticide, miticide. Agricultural use in the US ended 2007; the Stockholm Convention (2009) banned production and agricultural use, but pharmaceutical use is allowed until 2015. Pharmaceutical uses have been banned in California since 2002.",,,
Hexachlorocyclopentadiene,77-47-4,"Chemical intermediate in manufacture of pesticides, flame-retardant textiles, shock-proof plastics, esters, ketones, fluorocarbons, and dyes",,,
"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",39227-28-6,"Found in smoke emissions, byproduct of chemical synthesis",,,
"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",57653-85-7,"Found in smoke emissions, byproduct of chemical synthesis",,,
"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",19408-74-3,"Found in smoke emissions, byproduct of chemical synthesis",,,
Hexachlorodibenzo-p-dioxin,34465-46-8,"Contaminant in pesticides and pentachlorophenol (wood preservative); component of diesel emissions, tobacco smoke, stack emissions from waste oil furnaces, combustion of materials containing PVC or polychlorinated biphenyls; byproduct of chlorine-bleached pulp and paper",,,
"1,2,3,4,7,8-Hexachlorodibenzofuran",70648-26-9,"Found in smoke emissions, byproduct of chemical synthesis",,,
"1,2,3,6,7,8-Hexachlorodibenzofuran",57117-44-9,"Found in smoke emissions, byproduct of chemical synthesis",,,
"1,2,3,7,8,9-Hexachlorodibenzofuran",72918-21-9,"Found in smoke emissions, byproduct of chemical synthesis",,,
"2,3,4,6,7,8-Hexachlorodibenzofuran",60851-34-5,"Found in smoke emissions, byproduct of chemical synthesis",,,
Hexachloroethane,67-72-1,"Solvent, combustion retardant in pyrotechnics and smoke-producing devices, veterinary medicine (anthelmintic); polymer additive, ingredient in fungicide and insecticide; metal and alloy production",01-Jul-90,cancer,AB
"2,4-Hexadienal (89% trans, trans isomer; 11% cis, trans isomer)",,,04-Mar-05,cancer,AB
Hexafluoroacetone,684-16-2,"Organic chemical synthesis; chemical intermediate in production of hexafluoroisopropanol and textile coatings; solvent, polymer adhesive",,,
Hexamethylphosphoramide,680-31-9,Specialty solvent,01-Jan-88,cancer,SQE
Hexamethylphosphoramide,680-31-9,Specialty solvent,01-Oct-94,male,AB
n-Hexane,110-54-3,"Cleaning agent (degreaser), low-temperature thermometer filling; component of solvents (edible oil extraction, adhesives)",15-Dec-17,male,SQE
"2,5-Hexanedione",110-13-4,"Used as a starting reagent in the synthesis of trans-2,5-dimethylpyrrolidine and other pyrroles. It is also described as a “reagent used for the protection of amino groups in amino sugars and nucleosides; for the synthesis of five-membered heterocycles, in particular 2,5-dimethyl aminopyrroles, indane-type and benzannulated systems”.",04-Dec-15,male,SQE
Histrelin Acetate,,Medicine (treatment for prostate cancer and uterine fibroids),,,
"2,3,3',4,4',5,5'-HpCB",39635-31-9,From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979,,,
"2,3',4,4',5,5'-HxCB",52663-72-6,From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979,,,
"2,3,3',4,4',5'-HxCB",69782-90-7,From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979,,,
"2,3,3',4,4',5-HxCB",38380-08-4,From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979,,,
"3,3',4,4',5,5'-HxCB",32774-16-6,From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979.,,,
Hydramethylnon,67485-29-4,Insecticide,05-Mar-99,"developmental, male ",AB
Hydrazine,302-01-2,"Precursor to blowing agents, pesticides, pharmaceuticals (antitubercular, antifungals), corrosion inhibitor; aerospace propellant; production of dyes, photographic developer, spandex fibers, explosives, pesticides; reducing agent for many transition metals and some non-metals (arsenic, selenium, tellurium), as well as uranium and plutonium; proposed alternative to hydrogen in fuel cells; component of tobacco smoke",01-Jan-88,cancer,SQE
Hydrazine sulfate,10034-93-2,"Fungicide, antiseptic, analytical and reducing reagent; production of rocket fuel, antioxidants, acetate fibers, and insecticides; chemical intermediate",01-Jan-88,cancer,SQE
Hydrazobenzene,122-66-7,"Chemical intermediate in production of dyes and pharmaceuticals; production of hydrogen peroxide; used as antisludging additive in motor oil, de-suckering agent for tobacco plants, reductant in the reclamation of rubber",,,
Hydrogen Chloride,7647-01-0,"Production of hydrochloric acid, vinyl chloride, fertilizer, dye, artificial silk, pigment; reagent in industrial chemical transformations, semiconductor etching, electroplating, soap refining, leather tanning; byproduct of combustion",,,
Hydrogen cyanamid,420-04-2,"Used in agriculture and the production of pharmaceuticals and other organic compounds. It is also used as an alcohol deterrent drug in Canada, Europe and Japan.",,,
Hydrogen Cyanide,74-90-8,"Precursor to sodium cyanide and potassium cyanide; chemical warfare agent, fumigant, electroplating; organic chemical synthesis; production of nylon, synthetic fibers, dyes, pesticides; component of vehicle exhaust, wood and tobacco smoke. Naturally occurring in fruits with pit.",,,
Hydrogen Fluoride,7664-39-3,"Catalyst, reactive solvent; etching glass and enamel; production of refrigerants, herbicides, plastics, and electrical components",,,
Hydrogen Selenide,7783075,Doping material for semiconductors; synthesis of selenium-containing compounds,,,
Hydrogen Sulfide,7783064,"Precursor to elemental sulfur, analytical chemistry, precursor to metal sulfides",,,
1-Hydroxyanthraquinone,129-43-1,Chemical intermediate in production of dyes and pharmaceuticals,27-May-05,cancer,LC
Hydroxyurea,127-07-1,Medicine (antineoplastic),01-May-97,developmental ,FR
Idarubicin Hydrochloride,57852-57-0,,,,
Ifosfamide,3778-73-2,Medicine (treatment for cancer),01-Jul-90,developmental,FR
Imazalil,35554-44-0,Fungicide; veterinary medicine (topical antimycotic),20-May-11,cancer,AB
Imidacloprid,138261-41-3,systemic insecticide which acts as an insect neurotoxin,,,
Indeno(1-2-3-c-d)pyrene,193-39-5,Research chemical; component of gasoline engine exhaust and tobacco smoke,,,
Indium Phosphide,22398-80-7,"Components in high-power and high frequency electronics, optoelectronics",,,
Iodine-131,10043-66-0,"Nuclear energy, medical diagnostic and treatment procedures, natural gas production; nuclear fission product",01-Jan-89,developmental,SQE
Iprodione,36734-19-7,Fungicide,01-May-96,cancer,AB
Iprovalicarb,140923-17-7; 140923-25-7,Agricultural fungicide,01-Jun-07,cancer ,AB
IQ (2-Amino-3-methylimidazo-[4-5-f]quinoline),76180-96-6,Found in cooked food as byproduct of browning reaction; component of tobacco smoke,,,
Iron Dextran Complex,9004-66-4,,,,
Isobutyl Nitrite,542-56-3,"Recreational inhalant drug, medicine (component of antidote for cyanide poisoning); chemical intermediate in synthesis of aliphatic nitrites",,,
"2,4-D Isooctyl Ester",25168-26-7,Pesticide,,,
Isophorone,78-59-1,Solvent; ingredient in wood preservatives and floor sealants; chemical intermediate,,,
Isoprene,78-79-5,"Production of vehicle tires, styrene-isoprene-styrene block polymers, and butyl rubber",01-May-96,cancer,AB
Isopropyl Alcohol,67-63-0,"Rubbing alcohol, antiseptic for hand lotions, rubefacient, dehydrating agent, deicing agent for liquid fuels, synthetic flavoring adjuvant; solvent for gums, oils, creosote, and resins; component of quick drying oils and inks, denaturing alcohol, household products",,,
"2,4-D Isopropyl Ester",94-11-1,Herbicide,,,
Isopyrazam,881685-58-1,Fungicide; not currently registered for use in the US,24-Jul-12,cancer,AB
Isosafrole,120-58-1,,,,
Isotretinoin,4759-48-2,,,,
Isoxaflutole,141112-29-0,Herbicide,22-Dec-00,cancer,AB
Kresoxim-methyl,143390-89-0,Fungicide,03-Feb-12,cancer,AB
Lactofen,77501-63-4,Herbicide,01-Jan-89,cancer,SQE
Lasiocarpine,303-34-4,Naturally occurring in the seeds of several plants in the family Boraginaceae,01-Apr-88,cancer,SQE
Lead Acetate,301-04-2,"Dyeing of textiles, waterproofing, insecticide, anti-fouling paints, men's hair dye; drying agent, analytical reagent",,,
Lead and Lead Compounds,7439-92-1,"Lead is used in batteries, ballast, electrodes, construction materials, glazes, and as a radiation shield. Lead is also a component of tobacco smoke. Lead compounds are used as glazes, pigments, anti-knock additives in aviation fuel, semiconductors, and ammunition.",,,
Lead Phosphate,7446-27-7,Stabilizing agent in plastics; component of special glasses,,,
Lead Subacetate,1335-32-6,Sugar analysis; clarifying agent for organic substances,,,
Leather Dust,,,,,
Leuprolide Acetate,74381-53-6,"Medicine (treatment for prostate cancer, endometriosis, uterine fibroids, precocious puberty)",,,
Levodopa,59-92-7,Medicine (treatment of Parkinson's disease and dopamine-responsive dystonia); endogenous in some plants and animals,29-Jan-99,developmental ,FR
Levonorgestrel Implants,797-63-7,"Medicine (contraceptives, hormone replacement therapy)",,,
Lindane and other hexachlorocyclohexane isomers,,Insecticide,01-Oct-89,cancer,LC
Linuron,330-55-2,Herbicide,19-Mar-99,developmental ,AB
Lithium Carbonate,554-13-2,"Production of ovenware, ceramic glazes, cement, tile adhesives; processing of aluminum; active material of carbon dioxide sensors; medicine (treatment for bipolar disorder)",,,
Lithium Citrate,919-16-4,Medicine (mood stabilizer),,,
Lorazepam,846-49-1,"Medicine (benzodiazepine, treatment for agitation and seizures)",01-Jul-90,developmental,FR
Lovastatin,75330-75-5,Medicine (lowers cholesterol); naturally occuring in oyster mushrooms and red yeast rice,01-Oct-92,developmental,FR
Lynestrenol,52-76-6,Medicine (treatment of hormonal disorders),27-Feb-01,cancer ,AB
Malathion,121-75-5,organophosphate insecticide,20-May-16,cancer,LC
Maleic Anhydride,108-31-6,"Co-monomer for unsaturated polyester resins; chemical intermediate in synthesis of fumaric and tartaric acid, agricultural chemicals, resins, dyes, and pharmaceuticals; bonding agent",,,
"Malonaldehyde, Sodium Salt",24382-04-5,,,,
Mancozeb,07-01-8018,,01-Jan-90,cancer,AB
Maneb,12427-38-2,Pesticide,01-Jan-90,cancer,AB
Manganese & Manganese Compounds,7439-96-5,"Naturally occurring metal used in steel alloys, corrosion-resistant aluminum alloys, additive in unleaded gasoline, pigment, battery cells, matches, fireworks, fertilizer; reagent in organic chemistry, oxidizing agent; component of tobacco smoke",,,
Marijuana Smoke,,,,,
Me-A-alpha-C (2-Amino-3-methyl-9H-pyrido[2-3-b]indole),68006-83-7,Found in cooked food as byproduct of browning reaction; component of tobacco smoke,,,
Mebendazole,31431-39-7,Medicine (antihelmintic),20-Aug-99,developmental ,FR
Mechlorethamine,51-75-2,,,,
Mechlorethamine Hydrochloride,55-86-7,,,,
Medroxyprogesterone Acetate,71-58-9,Medicine (contraceptive; antineoplastic),,,
Megestrol Acetate,595-33-5,"Medicine (appetite stimulant, antineoplastic); veterinary medicine",,,
"MeIQ (2-Amino-3,4-dimethylimidazo[4,5-f]quinoline)",77094-11-2,Found in cooked food as byproduct of browning reaction; component of tobacco smoke,01-Oct-94,cancer,AB
"MeIQx (2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline)",77500-04-0,Found in cooked food as byproduct of browning reaction; component of tobacco smoke,01-Oct-94,cancer,AB
Melphalan,148-82-3,"Medicine (alkylating agent- multiple myeloma, ovarian cancer)",27-Feb-87,cancer,LC
Melphalan,148-82-3,"Medicine (alkylating agent- multiple myeloma, ovarian cancer)",01-Jul-90,developmental,FR
Menotropins,9002-68-0,,01-Apr-90,developmental,FR
Mepanipyrim,110235-47-7,"Fungicide, bactericide, wood preservative",01-Jul-08,cancer ,AB
Meprobamate,57-53-4,Medicine (anxiolytic),01-Jan-92,developmental,FR
2-Mercaptobenzothiazole,149-30-4,Antibacterial. Antifungal. Inhibits dopamine beta-hydroxylase.,,,
Mercaptopurine,6112-76-1,Medicine (immunosuppressive),01-Jul-90,developmental,FR
Mercury (Inorganic),7439-97-6,"Thermometers, barometers, mirrors, lubricant, laboratory reagent; catalyst in oxidation of organic compounds, extraction of gold and silver from ores; manufacture of pulp, paper, switching devices, chlorine, caustic soda; component of batteries, dental amalgams; component of tobacco smoke",,,
Merphalan,531-76-0,Medicine (chemotherapy),01-Apr-88,cancer,SQE
Mestranol,72-33-3,Medicine (contraceptives),01-Apr-88,cancer,SQE
Metam Potassium,137-41-7,"Fungicide, bacteriostat, microbicide",,,
Methacycline Hydrochloride,3963-95-9,Medicine (antibiotic),,,
Metham Sodium,137-42-8,"Pesticide, herbicide, fungicide",,,
Methamidophos,10265-92-6,insecticide,,,
Methamphetamine,537-46-2,"Methamphetamine (contracted from N-methyl-alpha-methylphenethylamine) is a strong central nervous system (CNS) stimulant that is mainly used as a recreational drug. Methamphetamine hydrochloride is approved by the United States Food and Drug Administration (USFDA) under the trade name Desoxyn for attention deficit hyperactivity disorder and obesity in adults and children, and is sometimes prescribed off label for narcolepsy and idiopathic hypersomnia.",,,
Methanol,67-56-1,"Fuel (exhibition vehicles, stoves, motors, fuel cell hydrogen carrier), solvent, antifreeze; chemical intermediate (formaldehyde, acetic acid, olefins, gasoline additive MTBE, biodiesel)",16-Mar-12,developmental,AB
Methazole,20354-26-1,Herbicide,01-Dec-99,developmental ,AB
Methidathion,950-37-8,insecticide,,,
Methimazole,60-56-0,"Medicine (treatment for hyperthyroidism), veterinary medicine",01-Jul-90,developmental,FR
Methomyl,16752-77-5,carbamate insecticide,,,
Methotrexate,59-05-2,"Medicine (chemotherapy, treatment for autoimmune disorders, abortifacient)",01-Jan-89,developmental,SQE
Methotrexate Sodium,15475-56-6,Medicine (treatment for cancer or diseases caused by an overactive immune system),,,
Methoxychlor,72-43-5,"Former agricultural, ornamental, and domestic insecticide (fleas, mosquitos, cockroaches, etc.); all uses cancelled in the US in 2003.",,,
5-Methoxypsoralen with ultraviolet A therapy,484-20-8,,01-Oct-88,cancer,SQE
8-Methoxypsoralen with ultraviolet A therapy,298-81-7,,27-Feb-87,cancer,LC
Methyl Bromide,74-83-9,"Methylating agent; solvent to extract oil from seeds and wool. Formerly used as fumigant and soil sterilant until it was phased out of use in the US in 2005, pursuant to the Montreal Protocol.",,,
Methyl Carbamate,598-55-0,Chemical intermediate in manufacture of resins to be applied to fabrics,,,
Methyl Chloride,74-87-3,Herbicide; chemical intermediate,,,
Methyl Ethyl Ketone,78-93-3,"Solvent, denaturing agent, cleaning agent; component of paints, lacquers, varnishes, glues, resins; production of plastics, textiles, paraffin wax; component of automobile and tobacco smoke",,,
Methyl Iodide,74-88-4,Pesticide,,,
Methyl Isobutyl Ketone,108-10-1,"Solvent, denaturant, excipient in drugs; component of adhesives used for packaging, transporting, or holding food",,,
Methyl Isocyanate,624-83-9,Chemical intermediate for production of insecticides and herbicides,,,
Methyl isopropyl ketone,563-80-4,"This ketone is used primarily in industrial applications as a chemical intermediate and as a process solvent, ,  ",,,
Methyl isothiocyanate,556-61-6,"soil fumigant, mainly for protection against fungi and nematodes",,,
Methyl Methanesulfonate,66-27-3,"Research chemical (induces cancer, alkylating agent), possible use as reversible and mammalian chemosterilant",,,
Methyl n-Butyl Ketone,591-78-6,"Solvent for lacquers, ink thinners, nitrocellulose, resins, oils, fats, and waxes; medium evaporating solvent",,,
Methyl Parathion,298-00-0,Pesticide that is used to kill insects on crops,,,
Methyl Tertiary Butyl Ether,1634-04-4,Gasoline additive (oxygenate; improves octane ratings and reduces pollutant emission); medicine (dissolves cholesterol gall stones),,,
2-Methyl-1-nitroanthraquinone (of uncertain purity),129-15-7,Chemical intermediate (dyes),01-Apr-88,cancer,SQE
n-Methyl-n-Nitro-n-Nitrosoguanidine,70-25-7,Research chemical (induces cancer),,,
Methylazoxymethanol,590-96-5,Medicine (antimitotic),01-Apr-88,cancer,SQE
Methylazoxymethanol Acetate,592-62-1,,,,
3-Methylcholanthrene,56-49-5,Research chemical (induces cancer),01-Jan-90,cancer,AB
5-Methylchrysene,3697-24-3,Component in cigarette smoke,01-Apr-88,cancer,SQE
"4,4'-Methylene bis(2-chloroaniline)",101-14-4,"Curing agent in polyurethane production, coating in chemical reations to set plastics and adhesives",01-Jul-87,cancer,FR
"4,4'-Methylene bis(2-methylaniline)",838-88-0,Production of dyes,01-Apr-88,cancer,SQE
Methylene Chloride (Dichloromethane),75-09-2,"Solvent; paint stripper, degreaser; extraction agent for flavorings and to decaffeinate coffee and tea; aerosol propellant and blowing agent for polyurethane foams; manufacture of pharmaceuticals, film coatings, and electronics",,,
Methylene Diphenyl Diisocyanate (MDI),101-68-8,"Manufacture of lacquer coatings, polyurethane resins, and spandex fibers",,,
"4,4-Methylenedianiline",101-77-9,"Chemical intermediate in production of polyurethane foams, epoxy resins and adhesives, high-performance polymers, azo dyes, and elastomeric fibers; corrosion inhibitor, antioxidant",,,
"4,4'-Methylenedianiline Dihydrochloride",13552-44-8,"Analytical reagent, corrosion inhibitor, antioxidant and curative agent in rubber, preparation of azo dyes; chemical intermediate (closed system production of isocyanates and polyisocyanates, used in polymers and resins)",,,
Methyleugenol,93-15-2,,16-Nov-01,cancer ,AB
Methylhydrazine,,"Rocket propellant, fuel for electrical power generating units, solvent; chemical intermediate. Result of gyromitrin hydrolyzed in the body.",,,
Methylhydrazine Sulfate,5118-34-3,Chemical intermediate,,,
2-Methylimidazole,693-98-1,"Manufacture of pharmaceuticals, photographic and photothermographic chemicals, dyes, pigments, agricultural chemicals, and rubber; polymerization accelerator, hardener for epoxy resin systems, component of polymers; dyeing auxiliary for acrylic fibres and plastic foams",22-Jun-12,cancer,LC
4-Methylimidazole,822-36-6,Component of caramel coloring agents used in foods and drinks; found in cooked food as byproduct of browning reaction,07-Jan-11,cancer,AB
Methylmercury and methylmercury compounds,22967-92-6,,,,
n-Methylolacrylamide,924-42-5,"Chemical intermediate, reactive comonomer; production of polymers for coatings, varnishes, and adhesion; crease resistance in cotton material.",,,
Methylphenidate and its hydrochloride,,Drug (psycho-stimulant),,,
N-Methylpyrrolidone,872-50-4,"Solvent for polymers, textile coatings, resins, agricultural chemicals, paint removal, degreasing; petrochemical processing; pharmaceuticals",15-Jun-01,developmental,AB
4-Methylquinoline,491-35-0,Use in organic preparations as a medicine; food additive; used in the synthesis of several cyanine dyes,,,
Methyltestosterone,58-18-4,,01-Apr-90,developmental,FR
Methylthiouracil,56-04-2,Formerly used in medicine (anti-thyroid agent),01-Oct-89,cancer,LC
Metiram,9006-42-2,,01-Jan-90,cancer,AB
Metiram,9006-42-2,,30-Mar-99,developmental ,AB
Metofluthrin,240494-70-6,,,,
Metolachlor,51218-45-2,"Organic compound, widely used as an herbicide.",,,
Metribuzin,21087-64-9,Pesticide,,,
Metronidazole,443-48-1,,01-Jan-88,cancer,SQE
Mevinphos,7786-34-7,contact and systemic acaricide and insecticide,,,
Michlers Ketone,90-94-8,"Synthesis of dyes, pigments, and fungicide",,,
Midazolam Hydrochloride,59467-96-8,,,,
Minocycline Hydrochloride,13614-98-7,,,,
Mirex,2385-85-5,"Insecticide, pesticide, flame retardant additive. Use in the US was banned in 1978.",01-Jan-88,cancer,SQE
Misoprostol,59122-46-2,,01-Apr-90,developmental,FR
Mitomycin C,50-07-7,"Medicine (antibiotic, antitumor)",01-Apr-88,cancer,SQE
Mitoxantrone Hydrochloride,70476-82-3,,,,
